Route_Name,Route_Link,Bus_Name,Bus_Type,Departing_Time,Duration,Reaching_Time,Star_Rating,Price,Seat_Availability
Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Chartered Bus - ASTC,,06:15,4h 30m,10:45,4.6,₹397,0
Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Chartered Bus - ASTC,,07:30,4h,11:30,4.5,₹397,0
Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Kalpana Travels,,16:50,3h 25m,20:15,4.5,₹351,0
Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,MAHANANDA TRAVELS,,07:00,4h,11:00,3.8,₹290,0
Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Mahi Travels(Under ASTC),,14:20,3h 20m,17:40,4.4,₹377,0
Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,WARISPIYA TRAVELS,,16:15,3h 25m,19:40,4.3,₹360,0
Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,WARISPIYA TRAVELS,,15:00,3h 40m,18:40,4.2,₹360,0
Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Karisma Aarna,,17:00,4h 30m,21:30,4.6,₹351,0
Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Yatra Travels,,19:00,4h 45m,23:45,3.9,₹450,0
Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Mahalaxmi Travels,,11:40,3h 40m,15:20,3.7,₹306,0
Guwahati to Nagaon (Assam),https://www.redbus.in/bus-tickets/guwahati-to-nagaon,Chartered Bus - ASTC,,06:15,3h,09:15,4.7,₹284,0
Guwahati to Nagaon (Assam),https://www.redbus.in/bus-tickets/guwahati-to-nagaon,Chartered Bus - ASTC,,07:30,2h,09:30,4.3,₹284,0
Guwahati to Nagaon (Assam),https://www.redbus.in/bus-tickets/guwahati-to-nagaon,Chartered Bus - ASTC,,09:30,2h 15m,11:45,4.8,₹324,0
Guwahati to Nagaon (Assam),https://www.redbus.in/bus-tickets/guwahati-to-nagaon,Chartered Bus - ASTC,,08:30,2h 15m,10:45,4.9,₹324,0
Guwahati to Nagaon (Assam),https://www.redbus.in/bus-tickets/guwahati-to-nagaon,Orient Transline,,12:50,2h 50m,15:40,4.5,₹333,0
Guwahati to Nagaon (Assam),https://www.redbus.in/bus-tickets/guwahati-to-nagaon,Orient Transline,,11:10,2h 55m,14:05,4.2,₹333,0
Guwahati to Nagaon (Assam),https://www.redbus.in/bus-tickets/guwahati-to-nagaon,Mahalaxmi Travels,,11:40,14h 5m,01:45,3.8,₹260,0
Guwahati to Nagaon (Assam),https://www.redbus.in/bus-tickets/guwahati-to-nagaon,Mahi Travels(Under ASTC),,14:20,1h 55m,16:15,4.1,₹374,0
Guwahati to Nagaon (Assam),https://www.redbus.in/bus-tickets/guwahati-to-nagaon,Kareng Travels,,11:45,3h,14:45,4.3,₹266,0
Guwahati to Nagaon (Assam),https://www.redbus.in/bus-tickets/guwahati-to-nagaon,Orient Transline,,12:00,2h 50m,14:50,4.4,₹333,0
Jorhat to North Lakhimpur,https://www.redbus.in/bus-tickets/jorhat-to-north-lakhimpur,Assam State Transport Corporation (ASTC) - 152649,,06:45,6h 15m,13:00,3.8,₹405,0
Jorhat to North Lakhimpur,https://www.redbus.in/bus-tickets/jorhat-to-north-lakhimpur,Priyanka,,19:00,10h 30m,05:30,3.7,₹600,0
Jorhat to North Lakhimpur,https://www.redbus.in/bus-tickets/jorhat-to-north-lakhimpur,Padmanav Travels,,06:00,7h 45m,13:45,3,₹590,0
Jorhat to North Lakhimpur,https://www.redbus.in/bus-tickets/jorhat-to-north-lakhimpur,Hargauri Travels,,06:00,6h,12:00,3.3,₹430,0
Goalpara to Guwahati,https://www.redbus.in/bus-tickets/goalpara-to-guwahati,Balaji Tours And Travels,,12:00,4h 20m,16:20,1,₹162,0
Goalpara to Guwahati,https://www.redbus.in/bus-tickets/goalpara-to-guwahati,Balaji Tours And Travels,,14:15,3h,17:15,1,₹162,0
