Route_Name,Route_Link,Bus_Name,Bus_Type,Departing_Time,Duration,Reaching_Time,Star_Rating,Price,Seat_Availability
Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah,V.I.P Travels,,21:40,6h,03:40,3.1,₹350,0
Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah,Jai Mata Di Tour and Travels,,22:40,5h 20m,04:00,3,₹405,0
Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah,Jai Hanuman Travels,,22:20,7h 10m,05:30,3.8,₹300,0
Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah,Jai Hanuman Travels,,09:00,7h,16:00,2.4,₹300,0
Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah,Jai Hanuman Travels,,10:00,7h,17:00,2.3,₹300,0
Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah,Jai Hanuman Travels,,12:45,7h 25m,20:10,1.4,₹300,0
Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah,Jai Hanuman Travels,,10:10,6h 30m,16:40,0,₹300,0
Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah,Jai Hanuman Travels,,09:30,6h 30m,16:00,0,₹630,0
Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah,Jai Mata Di Tour and Travels,,20:00,6h,02:00,0,₹450,0
Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah,Saurabh Travels,,07:37,5h 23m,13:00,0,₹450,0
Patna (Bihar) to Motihari,https://www.redbus.in/bus-tickets/patna-to-motihari,Siddhi Vinayak (BSRTC U/T),,12:15,4h,16:15,2.6,₹220,0
Patna (Bihar) to Motihari,https://www.redbus.in/bus-tickets/patna-to-motihari,Siddhi Vinayak (BSRTC U/T),,15:30,4h,19:30,1.8,₹220,0
Patna (Bihar) to Motihari,https://www.redbus.in/bus-tickets/patna-to-motihari,Saurabh Travels,,10:30,3h 30m,14:00,1.1,₹350,0
Patna (Bihar) to Motihari,https://www.redbus.in/bus-tickets/patna-to-motihari,Hari Om Travels,,14:30,3h 30m,18:00,1.8,₹269,0
