Route_Name,Route_Link,Bus_Name,Bus_Type,Departing_Time,Duration,Reaching_Time,Star_Rating,Price,Seat_Availability
Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Laxmi Holidays Pvt Ltd,,23:40,5h 5m,04:45,4.6,₹873,0
Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Laxmi holidays,,04:50,4h 10m,09:00,4.6,₹425,0
Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Laxmi Holidays Pvt Ltd,,03:20,3h 55m,07:15,4.6,₹417,0
Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Khurana Bus Service,,21:50,5h 10m,03:00,3.7,₹339,0
Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,NueGo,,20:00,5h 20m,01:20,4.3,₹589,0
Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Zingbus Plus,,01:20,5h 5m,06:25,4.5,₹513,0
Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,NueGo,,15:30,5h 30m,21:00,4.2,₹637,0
Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Jorawar Transport Company,,21:30,6h 15m,03:45,3.5,₹719,0
Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Zingbus Plus,,03:15,4h 45m,08:00,4.3,₹522,0
Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Zingbus Plus,,00:15,4h 35m,04:50,4.6,₹513,0
Yamuna Nagar to Chandigarh,https://www.redbus.in/bus-tickets/yamuna-nagar-to-chandigarh,Shree Mahaveer Travels Jaipur,,02:20,3h 20m,05:40,3.9,₹699,0
Yamuna Nagar to Chandigarh,https://www.redbus.in/bus-tickets/yamuna-nagar-to-chandigarh,Shri Krishna Travels ( Jai Shree Ganesh Yatra Co.),,02:00,2h,04:00,3.8,₹380,0
Yamuna Nagar to Chandigarh,https://www.redbus.in/bus-tickets/yamuna-nagar-to-chandigarh,Zimindara Travels,,20:00,2h 45m,22:45,3.8,"₹1,149",0
Yamuna Nagar to Chandigarh,https://www.redbus.in/bus-tickets/yamuna-nagar-to-chandigarh,SHIV BHOLE TOUR AND TRAVELS,,19:35,1h 50m,21:25,3.8,"₹4,286",0
Yamuna Nagar to Chandigarh,https://www.redbus.in/bus-tickets/yamuna-nagar-to-chandigarh,Shri Krishna Travels ( Jai Shree Ganesh Yatra Co.),,22:40,2h 50m,01:30,3.7,"₹1,499",0
Yamuna Nagar to Chandigarh,https://www.redbus.in/bus-tickets/yamuna-nagar-to-chandigarh,City Land Travels,,03:30,1h 20m,04:50,3.7,₹986,0
Yamuna Nagar to Chandigarh,https://www.redbus.in/bus-tickets/yamuna-nagar-to-chandigarh,Mahalaxmi Travels,,03:00,2h,05:00,3.7,"₹1,799",0
Yamuna Nagar to Chandigarh,https://www.redbus.in/bus-tickets/yamuna-nagar-to-chandigarh,City Land Travels,,23:30,2h 30m,02:00,3.7,"₹1,376",0
Yamuna Nagar to Chandigarh,https://www.redbus.in/bus-tickets/yamuna-nagar-to-chandigarh,City Land Travels,,22:30,2h,00:30,3.6,"₹1,129",0
Yamuna Nagar to Chandigarh,https://www.redbus.in/bus-tickets/yamuna-nagar-to-chandigarh,Vijay Tour and Travels,,04:40,2h 20m,07:00,0,₹849,0
Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Zingbus Plus,,17:20,6h 15m,23:35,4.7,₹515,0
Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Zingbus Plus,,19:45,5h,00:45,4.8,₹667,0
Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Zingbus Plus,,23:30,5h,04:30,4.8,₹552,0
Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Orbit Aviation Pvt Ltd,,08:30,5h 25m,13:55,4.3,₹484,0
Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,City Land Travels,,09:40,5h 30m,15:10,4.6,₹808,0
Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Laxmi holidays,,18:30,5h 15m,23:45,4.7,₹640,0
Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Zingbus Plus,,20:45,5h 40m,02:25,4.7,₹692,0
Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Khurana Bus Service,,08:35,5h 5m,13:40,3.7,₹449,0
Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Zingbus Plus,,22:55,5h,03:55,4.7,₹747,0
Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Laxmi holidays,,17:00,5h 30m,22:30,4.6,₹640,0
Chandigarh to Vrindavan,https://www.redbus.in/bus-tickets/chandigarh-to-vrindavan,Chandigarh Transport Undertaking (CTU) - 165938,,20:00,9h 45m,05:45,3.8,₹635,0
