Route_Name,Route_Link,Bus_Name,Bus_Type,Departing_Time,Duration,Reaching_Time,Star_Rating,Price,Seat_Availability
Kolkata to Siliguri,https://www.redbus.in/bus-tickets/kolkata-to-siliguri,SBSTC-KOLKATA - SILIGURI - VOLVO - 20:05 SPL FARE - SLGVOLSPL1-U/20-05,,20:05,12h,08:05,3.7,₹910,0
Kolkata to Siliguri,https://www.redbus.in/bus-tickets/kolkata-to-siliguri,Raipur Cruiser,,17:30,14h,07:30,4.7,"₹1,350",0
Kolkata to Siliguri,https://www.redbus.in/bus-tickets/kolkata-to-siliguri,Easy Ride,,20:30,12h 55m,09:25,4.7,"₹1,800",0
Kolkata to Siliguri,https://www.redbus.in/bus-tickets/kolkata-to-siliguri,Shyamoli Paribahan Pvt Ltd,,21:00,13h,10:00,3.8,"₹1,200",0
Kolkata to Siliguri,https://www.redbus.in/bus-tickets/kolkata-to-siliguri,Easy Ride,,18:30,12h 55m,07:25,4.7,"₹1,500",0
Kolkata to Siliguri,https://www.redbus.in/bus-tickets/kolkata-to-siliguri,Easy Ride,,19:50,12h 55m,08:45,4.7,"₹1,500",0
Kolkata to Siliguri,https://www.redbus.in/bus-tickets/kolkata-to-siliguri,Shyamoli Paribahan Pvt Ltd,,19:15,13h,08:15,4.7,"₹1,500",0
Kolkata to Siliguri,https://www.redbus.in/bus-tickets/kolkata-to-siliguri,Lokenath Bus Service,,20:20,12h 55m,09:15,4.3,"₹1,299",0
Kolkata to Siliguri,https://www.redbus.in/bus-tickets/kolkata-to-siliguri,Rubi Paribahan  ,,19:30,13h 15m,08:45,4.5,"₹1,200",0
Kolkata to Siliguri,https://www.redbus.in/bus-tickets/kolkata-to-siliguri,Maa Durga Bus Service (SNT),,20:00,13h,09:00,4.4,"₹1,080",0
Siliguri to Kolkata,https://www.redbus.in/bus-tickets/siliguri-to-kolkata,SBSTC-SILIGURI - KOLKATA - VOLVO - 19:35 SPL FARE - SLGVOLSPL1-D/19-35,,19:35,12h,07:35,4,₹910,0
Siliguri to Kolkata,https://www.redbus.in/bus-tickets/siliguri-to-kolkata,Easy Ride,,20:30,12h 55m,09:25,4.8,"₹3,300",0
Siliguri to Kolkata,https://www.redbus.in/bus-tickets/siliguri-to-kolkata,Easy Ride,,18:30,12h 55m,07:25,4.8,"₹3,300",0
Siliguri to Kolkata,https://www.redbus.in/bus-tickets/siliguri-to-kolkata,Lokenath Bus Service,,19:15,12h 30m,07:45,4.4,"₹2,499",0
Siliguri to Kolkata,https://www.redbus.in/bus-tickets/siliguri-to-kolkata,Raipur Cruiser,,18:00,12h 40m,06:40,4.7,"₹2,025",0
Siliguri to Kolkata,https://www.redbus.in/bus-tickets/siliguri-to-kolkata,Easy Ride,,19:50,12h 55m,08:45,4.7,"₹3,300",0
Siliguri to Kolkata,https://www.redbus.in/bus-tickets/siliguri-to-kolkata,Easy Ride,,20:45,12h 55m,09:40,4.7,"₹3,300",0
Siliguri to Kolkata,https://www.redbus.in/bus-tickets/siliguri-to-kolkata,Express Line,,18:30,12h 40m,07:10,4.4,"₹1,899",0
Siliguri to Kolkata,https://www.redbus.in/bus-tickets/siliguri-to-kolkata,Rubi Paribahan  ,,20:00,12h 45m,08:45,4.5,"₹1,879",0
Siliguri to Kolkata,https://www.redbus.in/bus-tickets/siliguri-to-kolkata,Greenline,,18:30,13h,07:30,4.5,"₹2,750",0
