Route_Name,Route_Link,Bus_Name,Bus_Type,Departing_Time,Duration,Reaching_Time,Star_Rating,Price,Seat_Availability
Durgapur (West Bengal) to Kolkata,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Express Line (Karunamoyee),,08:40,3h 50m,12:30,4.7,₹486,0
Durgapur (West Bengal) to Kolkata,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Express Line (Karunamoyee),,14:25,3h 45m,18:10,4.6,₹486,0
Durgapur (West Bengal) to Kolkata,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Greenline,,08:10,2h 50m,11:00,4.7,₹486,0
Durgapur (West Bengal) to Kolkata,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Greenline,,06:30,3h,09:30,4.6,₹486,0
Durgapur (West Bengal) to Kolkata,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Greenline (Karunamoyee),,07:50,4h,11:50,4.6,₹486,0
Durgapur (West Bengal) to Kolkata,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Greenline (Karunamoyee),,07:00,3h 16m,10:16,4.5,₹486,0
Durgapur (West Bengal) to Kolkata,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Express Line (Karunamoyee),,16:30,3h 55m,20:25,4.5,₹486,0
Durgapur (West Bengal) to Kolkata,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Greenline (Karunamoyee),,13:10,4h,17:10,4.6,₹486,0
Durgapur (West Bengal) to Kolkata,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Express Line,,06:55,3h 5m,10:00,4.5,₹486,0
Durgapur (West Bengal) to Kolkata,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Shyamoli Paribahan Pvt Ltd,,09:30,4h,13:30,4.6,₹486,0
Kolkata to Burdwan,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,SHYAMOLI Pvt. Ltd.(Karunamoyee),,07:00,2h 15m,09:15,4.8,₹429,0
Kolkata to Burdwan,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Express Line (Karunamoyee),,08:15,2h 15m,10:30,4.8,₹429,0
Kolkata to Burdwan,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Express Line (Karunamoyee),,15:45,2h 15m,18:00,4.8,₹429,0
Kolkata to Burdwan,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,SHYAMOLI Pvt. Ltd.(Karunamoyee),,08:30,2h 15m,10:45,4.4,₹429,0
Kolkata to Burdwan,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Express Line,,07:05,2h,09:05,4.5,₹429,0
Kolkata to Burdwan,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,SHYAMOLI Pvt. Ltd.(Karunamoyee),,17:30,2h 30m,20:00,4.3,₹429,0
Kolkata to Burdwan,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,SHYAMOLI Pvt. Ltd.(Karunamoyee),,06:15,2h,08:15,4.6,₹429,0
Kolkata to Burdwan,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Express Line (Karunamoyee),,06:30,2h,08:30,4.4,₹429,0
Kolkata to Burdwan,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Shyamoli Paribahan Pvt Ltd,,09:15,2h,11:15,4.7,₹429,0
Kolkata to Burdwan,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,SHYAMOLI Pvt. Ltd.(Karunamoyee),,10:00,2h 45m,12:45,4.5,₹429,0
Haldia to Kolkata,https://www.redbus.in/bus-tickets/haldia-to-kolkata,Diamond City Service,,06:30,3h 45m,10:15,4.2,₹184,0
Haldia to Kolkata,https://www.redbus.in/bus-tickets/haldia-to-kolkata,Gogol City Service,,07:00,2h 45m,09:45,4.2,₹158,0
Haldia to Kolkata,https://www.redbus.in/bus-tickets/haldia-to-kolkata,Satadal Travels,,05:55,3h 35m,09:30,3.9,₹167,0
Haldia to Kolkata,https://www.redbus.in/bus-tickets/haldia-to-kolkata,SS Travels,,07:10,3h 35m,10:45,3.2,₹140,0
Haldia to Kolkata,https://www.redbus.in/bus-tickets/haldia-to-kolkata,NANDALAL,,05:20,2h 55m,08:15,3.5,₹131,0
Kolkata to Haldia,https://www.redbus.in/bus-tickets/kolkata-to-haldia,Diamond City Service,,15:10,3h 45m,18:55,4.2,₹184,0
Kolkata to Haldia,https://www.redbus.in/bus-tickets/kolkata-to-haldia,Gogol City Service,,13:30,2h 45m,16:15,4.3,₹158,0
Kolkata to Haldia,https://www.redbus.in/bus-tickets/kolkata-to-haldia,Satadal Travels,,14:55,3h 20m,18:15,3.8,₹167,0
Kolkata to Haldia,https://www.redbus.in/bus-tickets/kolkata-to-haldia,Satadal Travels,,14:55,3h 35m,18:30,3.8,₹167,0
Kolkata to Haldia,https://www.redbus.in/bus-tickets/kolkata-to-haldia,SS Travels,,17:20,3h 25m,20:45,2.3,₹140,0
Kolkata to Haldia,https://www.redbus.in/bus-tickets/kolkata-to-haldia,NANDALAL,,17:45,3h,20:45,2.5,₹131,0
Kolkata to Durgapur (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Greenline (Karunamoyee),,07:45,3h 40m,11:25,4.7,₹486,0
Kolkata to Durgapur (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Greenline,,16:00,3h 15m,19:15,4.8,₹486,0
Kolkata to Durgapur (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Express Line (Karunamoyee),,15:45,4h,19:45,4.6,₹486,0
Kolkata to Durgapur (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Express Line,,07:05,3h 15m,10:20,4.6,₹486,0
Kolkata to Durgapur (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Greenline (Karunamoyee),,09:15,4h,13:15,4.6,₹486,0
Kolkata to Durgapur (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Express Line (Karunamoyee),,06:30,3h 45m,10:15,4.5,₹486,0
Kolkata to Durgapur (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-durgapur,SHYAMOLI Pvt. Ltd.(Karunamoyee),,07:00,3h 30m,10:30,4.5,₹486,0
Kolkata to Durgapur (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-durgapur,SHYAMOLI Pvt. Ltd.(Karunamoyee),,06:15,3h 15m,09:30,4.5,₹486,0
Kolkata to Durgapur (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Express Line (Karunamoyee),,08:15,4h,12:15,4.5,₹486,0
Kolkata to Durgapur (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Greenline (Karunamoyee),,15:00,4h,19:00,4.5,₹486,0
Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha,NBSTC-MLD-KOL-DIGHA-VOLVO-AC-9PM - 182447,,05:30,4h,09:30,4.3,₹400,0
Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha,Shyamoli Paribahan Pvt Ltd,,23:30,5h,04:30,4.5,₹400,0
Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha,Greenline,,06:45,5h,11:45,4.3,₹404,0
Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha,Lokenath Bus Service,,23:45,5h 15m,05:00,4.4,₹349,0
Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha,Greenline,,06:30,5h 10m,11:40,4.3,₹399,0
Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha,Shyamoli Paribahan Pvt Ltd,,07:15,4h 45m,12:00,4.3,₹418,0
Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha,Raipur Cruiser,,08:00,5h,13:00,4.2,₹306,0
Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha,Shyam N R Travels,,23:45,5h,04:45,3.7,₹401,0
Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha,Express Line,,23:45,5h,04:45,4.2,₹494,0
Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha,Maa Chandi Travels,,22:00,7h 30m,05:30,4.1,₹350,0
Kolkata to Arambagh (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-arambagh-west-bengal,WBTC (CTC) KOLKATA - JOYRAMBATI - BISHNUPUR - 123|06:00,,06:00,3h,09:00,3,₹69,0
Kolkata to Arambagh (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-arambagh-west-bengal,Abir Travels,,07:40,2h 15m,09:55,3.8,₹150,0
Digha to Kolkata,https://www.redbus.in/bus-tickets/digha-to-kolkata,NBSTC-DIGHA-KOL-MLD-VOLVO-AC-3PM - 182453,,15:00,5h,20:00,4.9,₹400,0
Digha to Kolkata,https://www.redbus.in/bus-tickets/digha-to-kolkata,Shyamoli Paribahan Pvt Ltd,,09:50,5h 30m,15:20,4.4,₹500,0
Digha to Kolkata,https://www.redbus.in/bus-tickets/digha-to-kolkata,Express Line,,14:00,4h 30m,18:30,4.6,₹810,0
Digha to Kolkata,https://www.redbus.in/bus-tickets/digha-to-kolkata,Shyam N R Travels,,13:25,5h 5m,18:30,2.9,₹666,0
Digha to Kolkata,https://www.redbus.in/bus-tickets/digha-to-kolkata,Express Line,,13:45,4h 30m,18:15,4.3,₹899,0
Digha to Kolkata,https://www.redbus.in/bus-tickets/digha-to-kolkata,Raipur Cruiser,,14:30,5h,19:30,4.5,₹954,0
Digha to Kolkata,https://www.redbus.in/bus-tickets/digha-to-kolkata,Shyamoli Paribahan Pvt Ltd,,13:30,4h 55m,18:25,4.3,₹700,0
Digha to Kolkata,https://www.redbus.in/bus-tickets/digha-to-kolkata,Raipur Cruiser,,13:30,5h,18:30,4.5,₹756,0
Digha to Kolkata,https://www.redbus.in/bus-tickets/digha-to-kolkata,Greenline,,13:40,4h 45m,18:25,4.2,₹809,0
Digha to Kolkata,https://www.redbus.in/bus-tickets/digha-to-kolkata,Shyamoli Paribahan Pvt Ltd,,13:45,5h 10m,18:55,4.2,₹650,0
Kolkata to Bankura,https://www.redbus.in/bus-tickets/kolkata-to-bankura,City Queen Bus Service,,20:50,5h 10m,02:00,3.3,₹250,0
Kolkata to Bankura,https://www.redbus.in/bus-tickets/kolkata-to-bankura,City Queen Bus Service,,21:30,6h,03:30,2.4,₹285,0
Jhargram to Kolkata,https://www.redbus.in/bus-tickets/jhargram-to-kolkata,SBSTC-JHARGRAM-KOLKATA - VIA - LODHASULI - KOLAGHAT - 05:00 (JHAR DEPOT) - JHAKOL 1-U/05-00,,05:00,3h 58m,08:58,4.5,₹140,0
Jhargram to Kolkata,https://www.redbus.in/bus-tickets/jhargram-to-kolkata,SBSTC-JHARGRAM - KOLKATA - VIA - LODHASULI - 05:40 (JHAR - JHAKOL 2-U/05-40,,05:40,3h 45m,09:25,3.8,₹127,0
Jhargram to Kolkata,https://www.redbus.in/bus-tickets/jhargram-to-kolkata,SBSTC-JHARGRAM - KOLKATA - VIA - LODHASULI - 06:30 (JHAR DEPOT) - BELPA N/H-U/06:30,,06:30,4h,10:30,4.2,₹140,0
Jhargram to Kolkata,https://www.redbus.in/bus-tickets/jhargram-to-kolkata,SBSTC-JHARGRAM - KOLKATA - VIA - MIDNAPUR - 06:50 (JHAR DEPOT) - KOL/GOPI(N/H)-U/07-2,,06:50,4h 30m,11:20,4.3,₹130,0
Jhargram to Kolkata,https://www.redbus.in/bus-tickets/jhargram-to-kolkata,SBSTC-JHARGRAM - KOLKATA - VIA - LODHASULI - 07:30 (JHRM DEPOT) - JHAKOL 6-U/07-30,,07:30,3h 58m,11:28,3.7,₹140,0
Jhargram to Kolkata,https://www.redbus.in/bus-tickets/jhargram-to-kolkata,SBSTC-JHARGRAM - KOLKATA - VIA - MIDNAPUR - 09:00 (JHAR DEPOT) - RAGRA N/H1-U/09-00,,09:00,4h 58m,13:58,3.7,₹130,0
Jhargram to Kolkata,https://www.redbus.in/bus-tickets/jhargram-to-kolkata,SBSTC-JHARGRAM-KOLKATA VIA MIDNAPUR 10:45 (JHAR ) - KOLKATA10 N/H-U/14-4,,10:45,4h 30m,15:15,4.3,₹130,0
Jhargram to Kolkata,https://www.redbus.in/bus-tickets/jhargram-to-kolkata,SBSTC-JHARGRAM-KARUNAMOYEE VIA MEDNIPUR 13:35 (JHAR DEPOT) - KMOY1 N/H-U/13-35,,13:35,4h 59m,18:34,2.6,₹135,0
Jhargram to Kolkata,https://www.redbus.in/bus-tickets/jhargram-to-kolkata,SBSTC-JHARGRAM-GARIA VIA-LODHASHULI 14:10(JHAR DEPOT) - GARIA 1N/H-U/14-10,,14:10,4h 29m,18:39,4.5,₹127,0
Jhargram to Kolkata,https://www.redbus.in/bus-tickets/jhargram-to-kolkata,SBSTC-JHARGRAM-GARIA VIA-LODHASHULI 14:35 (JHR DEPOT) - GARIA 3N/H-U/14-40,,14:35,3h 53m,18:28,4.3,₹127,0
Kolkata to Asansol (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-asansol,Express Line,,07:05,4h 15m,11:20,4.6,₹524,0
Kolkata to Asansol (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-asansol,Greenline (Karunamoyee),,09:15,5h,14:15,4.5,₹524,0
Kolkata to Asansol (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-asansol,SHYAMOLI Pvt. Ltd.(Karunamoyee),,07:00,4h 30m,11:30,4.4,₹524,0
Kolkata to Asansol (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-asansol,Greenline (Karunamoyee),,13:00,5h,18:00,4.3,₹524,0
Kolkata to Asansol (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-asansol,Greenline,,16:00,4h,20:00,4.7,₹524,0
Kolkata to Asansol (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-asansol,Greenline (Karunamoyee),,07:45,4h 40m,12:25,4.3,₹524,0
