Route_Name,Route_Link,Bus_Name,Bus_Type,Departing_Time,Duration,Reaching_Time,Star_Rating,Price,Seat_Availability
Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha,NBSTC-MLD-KOL-DIGHA-VOLVO-AC-9PM - 182447,,05:30,4h,09:30,4.3,₹400,0
Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha,Shyamoli Paribahan Pvt Ltd,,23:30,5h,04:30,4.5,₹400,0
Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha,Greenline,,06:45,5h,11:45,4.3,₹485,0
Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha,Lokenath Bus Service,,23:45,5h 15m,05:00,4.4,₹349,0
Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha,Greenline,,06:30,5h 10m,11:40,4.3,₹409,0
Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha,Shyamoli Paribahan Pvt Ltd,,07:15,4h 45m,12:00,4.3,₹418,0
Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha,Express Line,,07:30,4h 25m,11:55,4.1,₹405,0
Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha,Shyam N R Travels,,23:45,5h,04:45,3.7,₹450,0
Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha,Raipur Cruiser,,08:00,5h,13:00,4.2,₹306,0
Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha,Express Line,,23:45,5h,04:45,4.2,₹494,0
Digha to Kolkata,https://www.redbus.in/bus-tickets/digha-to-kolkata,NBSTC-DIGHA-KOL-MLD-VOLVO-AC-3PM - 182453,,15:00,5h,20:00,4.9,₹400,0
Digha to Kolkata,https://www.redbus.in/bus-tickets/digha-to-kolkata,Shyamoli Paribahan Pvt Ltd,,09:50,5h 30m,15:20,4.4,₹500,0
Digha to Kolkata,https://www.redbus.in/bus-tickets/digha-to-kolkata,Express Line,,14:00,4h 30m,18:30,4.6,₹810,0
Digha to Kolkata,https://www.redbus.in/bus-tickets/digha-to-kolkata,Shyam N R Travels,,13:25,5h 5m,18:30,2.9,₹594,0
Digha to Kolkata,https://www.redbus.in/bus-tickets/digha-to-kolkata,Express Line,,13:45,4h 30m,18:15,4.3,₹899,0
Digha to Kolkata,https://www.redbus.in/bus-tickets/digha-to-kolkata,Raipur Cruiser,,14:30,5h,19:30,4.5,₹954,0
Digha to Kolkata,https://www.redbus.in/bus-tickets/digha-to-kolkata,Shyamoli Paribahan Pvt Ltd,,13:30,4h 55m,18:25,4.3,₹700,0
Digha to Kolkata,https://www.redbus.in/bus-tickets/digha-to-kolkata,Raipur Cruiser,,13:30,5h,18:30,4.5,₹756,0
Digha to Kolkata,https://www.redbus.in/bus-tickets/digha-to-kolkata,Greenline,,13:40,4h 45m,18:25,4.2,"₹1,031",0
Digha to Kolkata,https://www.redbus.in/bus-tickets/digha-to-kolkata,Shyamoli Paribahan Pvt Ltd,,13:45,5h 10m,18:55,4.2,₹650,0
Kolkata to Mandarmani,https://www.redbus.in/bus-tickets/kolkata-to-mandarmani,Express Line,,07:30,3h 40m,11:10,4.2,₹405,0
Kolkata to Mandarmani,https://www.redbus.in/bus-tickets/kolkata-to-mandarmani,Greenline,,06:45,4h 10m,10:55,4.2,₹485,0
Kolkata to Mandarmani,https://www.redbus.in/bus-tickets/kolkata-to-mandarmani,Greenline,,06:30,4h 20m,10:50,4.2,₹409,0
Kolkata to Mandarmani,https://www.redbus.in/bus-tickets/kolkata-to-mandarmani,Raipur Cruiser,,07:00,4h,11:00,4.6,₹414,0
Kolkata to Mandarmani,https://www.redbus.in/bus-tickets/kolkata-to-mandarmani,Shyamoli Paribahan Pvt Ltd,,07:15,4h,11:15,4.1,₹418,0
Kolkata to Mandarmani,https://www.redbus.in/bus-tickets/kolkata-to-mandarmani,Shyamoli Paribahan Pvt Ltd,,08:15,3h 45m,12:00,4,₹299,0
Kolkata to Mandarmani,https://www.redbus.in/bus-tickets/kolkata-to-mandarmani,Shyamoli Paribahan Pvt Ltd,,23:30,4h 15m,03:45,4.4,₹400,0
Kolkata to Mandarmani,https://www.redbus.in/bus-tickets/kolkata-to-mandarmani,Raipur Cruiser,,08:00,4h,12:00,4.3,₹369,0
